Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,PlayerId
"Pablo Reyes","BOS",32.4914,112.78,102.379,25.7784,17.9418,5.40283,0.223008,2.21071,13.5456,11.2121,9.19381,0.131422,20.4943,0.416165,0.473113,0.318263,1.65713,3.02077,1.01251,0.251793,0.0815195,0.181718,0.448603,0.314669,0.373702,0.302171,0.688371,0.121909,4.76505,0.294054,-0.0317087,-0.0344835,12.224,-1.51767,84.3042,-0.0661922,-0.136005,-2.187234476208687,0.24005326628684998,0.187931,740.7100219726562,4.1216,2.04291,1.81652,"16357"
"Ildemaro Vargas","WSN",58.8541,217.987,202.196,49.9627,35.8547,10.1905,1.11456,2.80287,21.5273,20.5372,12.465,0.199837,23.1647,1.0611,1.15791,1.10693,5.66854,1.57813,0.770188,0.2471,0.0571823,0.106267,0.538102,0.292737,0.350111,0.281471,0.642848,0.10301,3.85231,0.26586,-0.0156807,-0.388399,19.8795,-6.68094,73.4414,-0.40408,1.11443,-7.576317101716995,2.022667944431305,0.186546,999,2.66953,0.442694,1.43492,"13324"
"Nick Loftin","KCR",30.9575,119.838,108.955,27.3916,19.4515,5.41859,0.138396,2.38314,13.4248,12.382,8.13043,0.0710581,20.2407,1.39483,0.944568,0.413392,1.77995,2.20455,0.598334,0.251403,0.067845,0.1689,0.401687,0.309122,0.369294,0.297606,0.678416,0.117891,4.18296,0.286545,-0.137352,-0.0343546,12.5346,-2.06702,86.0223,-0.171707,-0.172162,-2.2128188610076904,-0.012915432453155518,0.184562,633.9299926757812,4.74186,1.27442,1.77768,"27630"
"Franmil Reyes",,26.0165,93.4367,84.372,19.1847,11.9521,3.16011,0.1855,3.88702,9.93068,11.7098,7.11835,0.0734005,29.8921,0.574998,1.37131,0,2.45326,0.207372,0.0812894,0.227383,0.0761837,0.319918,0.238135,0.287661,0.407444,0.298614,0.695105,0.180062,2.44572,0.294389,0.00164692,-0.143641,9.85133,-1.53339,84.9338,-0.141994,0,-1.8859649300575256,0.5493043661117554,0.184047,999,2.71674,0.733123,1.74471,"14566"
"Drew Millas","WSN",13.7618,48.1226,42.9789,10.1672,7.22443,2.01085,0.0599732,0.871976,4.92695,4.5228,4.4128,0.0213681,9.59036,0.210182,0.0691571,0.451499,1.54775,0.632582,0.0910921,0.236563,0.0916992,0.19929,0.460128,0.310256,0.347006,0.29228,0.657262,0.110443,3.76179,0.285255,-0.0845603,-0.00305263,4.82056,-1.04289,80.6874,-0.0876129,0.352034,-1.2389654144644737,1.4138988256454468,0.180881,999,2.43549,-0.291138,2.01968,"25643"
"Miguel Andujar","OAK",58.664,224.781,207.322,53.0266,36.0931,10.9172,0.664665,5.35173,22.827,25.9101,14.2451,1.20571,35.3569,1.01253,1.79444,0.407679,4.11535,2.81194,0.862764,0.25577,0.0633732,0.157294,0.402895,0.304333,0.392281,0.300263,0.696613,0.136511,3.97895,0.283092,-0.0419421,-0.18814,24.0072,-3.38105,93.8049,-0.230082,0.493388,-1.8986290842294693,-3.9426265358924866,0.179081,674.510009765625,3.6388,-1.21052,1.40979,"15878"
"Vidal Bruján","MIA",53.875,181.431,164.018,36.7605,24.6485,7.73282,1.01893,3.36027,22.1029,16.2934,13.8375,0.0547209,38.0446,1.86728,1.02558,0.682423,2.41183,8.95275,3.27477,0.224125,0.0762688,0.209692,0.363718,0.290267,0.345157,0.280314,0.635424,0.121032,6.5548,0.270143,0.0595487,0.0978364,16.3713,-5.73498,72.6013,0.157385,-0.127567,-6.00090192258358,1.6045236140489578,0.177792,624.0900268554688,6.45524,-0.34919,1.59331,"20536"
"Rafael Marchán","PHI",9.84452,37.9584,34.3215,8.25628,6.02507,1.65828,0.0532611,0.51967,3.75046,3.66698,2.75473,0.0211591,5.51871,0.775382,0.059842,0.0469301,0.759302,0.0866779,0.0401693,0.240557,0.0725725,0.145388,0.499163,0.310893,0.337401,0.289523,0.648293,0.0968435,2.40543,0.272964,-0.00391333,-0.0730798,3.71547,-0.909537,78.6974,-0.0769932,0.801989,-1.078742191195488,1.5615969896316528,0.177066,999,3.02616,0.554316,2.05587,"21646"
"Nick Maton","BAL",22.1488,80.3867,69.9296,15.3594,9.69868,3.27839,0.165637,2.21666,9.01205,8.90775,9.07496,0.0751691,21.6727,0.534538,0.578765,0.26882,0.900597,0.429021,0.135936,0.21964,0.112891,0.269606,0.418728,0.311651,0.366354,0.299718,0.678005,0.146714,3.17083,0.281917,-0.0116046,-0.119764,8.54913,-1.24552,91.088,-0.131369,-0.310619,-0.9897710680961609,0.031183958053588867,0.176761,999,4.25695,-0.0965037,1.80596,"21635"
"Jason Delay","PIT",39.0009,130.99,119.5,26.9635,19.3053,6.05558,0.23199,1.37055,12.6811,11.3112,8.24845,0.0215174,33.0332,1.92614,0.466781,0.848402,2.53228,0.422902,0.178327,0.225635,0.06297,0.252181,0.249702,0.285366,0.314599,0.267473,0.599965,0.0889639,3.02228,0.299111,-0.0635072,-0.217668,10.4229,-5.53754,63.0482,-0.281175,0.571662,-6.277604401111603,3.5809885263442993,0.175978,744.1799926757812,2.77794,0.077114,1.65807,"19806"
"Nick Ahmed",,45.0558,162.699,150.434,34.2698,22.5977,7.86075,0.740229,3.07116,16.5534,15.3532,10.2489,0.0918805,38.9391,0.870775,0.645635,0.500123,2.35541,2.86173,0.861351,0.227807,0.0629933,0.239332,0.263205,0.279839,0.351149,0.275972,0.630987,0.123341,4.87948,0.286045,-0.0846878,-0.0502994,14.0943,-5.72961,71.277,-0.134987,-0.0326976,-5.829422801733017,2.05321991071105,0.175342,999,2.2122,0.100826,1.55432,"12147"
