Name,Team,W,L,QS,ERA,G,GS,SV,HLD,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,PlayerId
"Framber Valdez","HOU",13.7588,8.32485,16.3409,3.39264,28.8847,28.8847,0,0,186.685,775.893,163.593,76.4922,70.3729,16.3999,60.8303,0.811263,10.0836,185.853,8.95988,2.9326,3.05526,0.790631,0.239534,0.0784004,0.16113349050283432,0.232053,1.20215,0.292789,0.734282,,,3.54556,3.69267,4.44538,57.41999816894531,3.0355,-0.0629192,1.24776,"17295"
"Max Fried","ATL",13.163,6.60052,13.3606,3.33547,27.6182,27.6182,0,0,164.966,676.197,152.336,66.4539,61.1376,16.3991,39.996,0.968943,5.46394,157.887,8.61383,2.18205,3.94758,0.894681,0.233493,0.0591484,0.17434485256671906,0.241521,1.16589,0.297814,0.7432,,,3.45989,3.5935,4.36167,62.380001068115234,3.21793,-0.168444,1.14018,"13743"
"Corbin Burnes","BAL",11.6438,8.17075,16.1001,3.5277,30.2828,30.2828,0,0,187.921,767.651,156.853,80.0638,73.6587,21.2688,57.1668,0.54322,8.6613,202.046,9.6765,2.73786,3.53432,1.01862,0.2632,0.0744698,0.1887306421995163,0.223493,1.13888,0.283347,0.727059,,,3.62694,3.5794,3.93873,21.15999984741211,5.01167,0.399872,1.05459,"19361"
"Zac Gallen","ARI",12.7597,8.70839,14.7627,3.65263,30.0712,30.0712,0,0,186.911,765.045,164.925,82.4535,75.8572,21.9767,50.5057,0.79981,7.57362,192,9.24508,2.43192,3.80156,1.05821,0.250966,0.0660167,0.1849496215581894,0.233285,1.15259,0.289962,0.720106,,,3.6613,3.55298,4.06397,39.5099983215332,3.4401,0.634418,1.01628,"19291"
"Luis Castillo","SEA",12.8004,9.30827,15.4101,3.56008,30.2494,30.2494,0,0,187.625,768.223,160.01,80.6717,74.2179,23.1123,57.0397,1.18769,7.06044,199.772,9.58265,2.73608,3.50233,1.10865,0.260044,0.0742488,0.185795359313488,0.227247,1.15682,0.284469,0.738406,,,3.75186,3.47709,3.64674,29.270000457763672,3.09202,0.20786,1.04559,"15689"
"Freddy Peralta","MIL",10.8916,8.74459,12.4973,3.70159,28.3583,28.3583,0,0,161.578,660.254,128.839,72.2335,66.4548,21.4195,55.5928,0.670421,7.24764,194.356,10.8258,3.09657,3.49606,1.19308,0.294365,0.0841991,0.21016593277454376,0.215661,1.14144,0.281469,0.726463,,,3.73941,3.40078,3.41369,55,2.17816,1.47799,0.947094,"18679"
"Justin Steele","CHC",11.4246,8.35564,13.2283,3.66117,28.8855,28.8855,0,0,170.387,711.173,159.581,75.3402,69.313,17.9625,50.312,1.21966,7.1569,165.508,8.74227,2.65752,3.28963,0.948795,0.232725,0.070745,0.16198012232780457,0.244119,1.23186,0.301167,0.728315,,,3.69465,3.33726,3.54825,102.48999786376953,1.27807,0.0552406,0.903562,"17312"
"Yoshinobu Yamamoto","LAD",12.1163,7.63641,10.5764,3.75877,26.4987,26.4987,0,0,166.258,677.361,143.956,75.474,69.4361,21.2886,45.0623,1.62969,6.1949,173.949,9.41637,2.43935,3.8602,1.15241,0.256805,0.0665262,0.1902782991528511,0.229924,1.1369,0.2847,0.713155,,,3.75201,3.26924,3.28004,43.130001068115234,7.56267,0.176139,0.985421,"sa3023345"
"Jesús Luzardo","MIA",10.1517,9.17854,12.9514,3.77292,28.43,28.43,0,0,165.696,686.999,145.957,75.5023,69.4621,21.3018,54.2245,1.06594,6.29848,188.077,10.2156,2.94527,3.46849,1.15703,0.273766,0.0789295,0.19483695179224014,0.23298,1.20812,0.298863,0.731861,,,3.75196,3.18502,3.28212,82.04000091552734,3.52281,-1.46103,0.83257,"19959"
"Sonny Gray","STL",10.0101,8.41074,12.3643,3.63903,28.0592,28.0592,0,0,163.831,683.465,147.822,72.0032,66.2429,16.3397,53.2355,0.693139,7.29811,156.29,8.58571,2.92448,2.93581,0.897617,0.228672,0.0778906,0.15078162401914597,0.2373,1.22723,0.291986,0.724284,,,3.75213,3.11441,3.4608,117.52999877929688,2.2561,1.11603,0.751506,"12768"
"Tyler Glasnow","LAD",11.746,6.26861,10.8161,3.49703,23.9224,23.9224,0,0,138.411,557.752,110.422,58.4573,53.7807,18.1306,43.0127,0.47351,2.92654,175.06,11.3831,2.79685,4.06996,1.17892,0.313867,0.0771179,0.23674911260604858,0.215746,1.10854,0.289656,0.741709,,,3.42406,3.08748,3.19057,40.93000030517578,3.40844,-2.23244,0.99699,"14374"
"Kodai Senga","NYM",11.5913,8.52053,13.1276,3.70064,28.186,28.186,0,0,170.27,714.556,139.51,76.1001,70.0121,20.2543,74.8792,0.904091,6.38391,196.596,10.3915,3.95791,2.62551,1.07059,0.27513,0.104791,0.1703387051820755,0.220293,1.25911,0.286368,0.743358,,,3.924,3.08622,3.44303,69.47000122070312,2.88902,-1.00372,1.18592,"31838"
"Logan Gilbert","SEA",11.8771,8.54375,13.994,3.81692,30.5759,30.5759,0,0,183.949,748.653,167.62,84.7969,78.0132,25.7706,41.9183,1.79398,5.66366,183.269,8.96673,2.05092,4.37204,1.26087,0.244798,0.0559916,0.18880628049373627,0.239091,1.13911,0.288292,0.719138,,,3.8597,3.04713,2.93936,62.869998931884766,2.31039,-0.677019,1.0449,"22250"
"Mitch Keller","PIT",10.3522,10.09,12.9636,4.15782,30.0224,30.0224,0,0,180.799,768.697,173.457,90.7885,83.5255,21.169,60.6307,1.13507,10.292,174.138,8.66844,3.01814,2.87212,1.05377,0.226537,0.0788746,0.14766252040863037,0.248586,1.29474,0.303081,0.700897,,,4.02766,2.96226,2.82883,169.27000427246094,1.77822,-1.15152,1.34546,"17594"
